application_date,branch_id,client_id,age,monthly_income,requested_amount,loan_term_months,existing_debt,employment_type,months_in_job,prior_late_payments,payment_history_score,debt_to_income,manual_review,approved,days_past_due_6m,default_30d,collection_calls_6m,restructured_after_default,legal_collection_status,p_mora_sin_intervencion
2024-01-01,Santo Domingo,C312842,35,45800.0,76000.0,6,175000.0,formal,77.0,1,,0.318,1,1,0.0,0.0,0.0,0.0,ninguna,0.0671
2024-01-01,Santo Domingo,C113469,26,46400.0,227000.0,6,29800.0,formal,19.0,0,80.0,0.054,1,1,0.0,0.0,0.0,0.0,ninguna,0.0728
2024-01-01,San Cristóbal,C113183,57,53300.0,145000.0,18,107100.0,formal,2.0,0,69.0,0.167,1,1,0.0,0.0,0.0,0.0,ninguna,0.0964
2024-01-01,Santo Domingo,C114663,32,49500.0,299000.0,36,223700.0,pensionado,1.0,0,48.0,0.377,1,1,18.0,0.0,2.0,0.0,ninguna,0.2214
2024-01-01,Baní,C113531,53,84500.0,494000.0,24,347500.0,pensionado,34.0,0,65.0,0.343,1,0,,,,,,0.0508
2024-01-01,Santo Domingo,C113481,48,130200.0,428000.0,18,610800.0,independiente,15.0,0,68.0,0.391,1,1,8.0,0.0,2.0,0.0,ninguna,0.0785
2024-01-01,San Cristóbal,C116709,50,20500.0,177000.0,18,54200.0,pensionado,4.0,0,62.0,0.22,1,1,31.0,1.0,2.0,1.0,prejudicial,0.2431
2024-01-01,Baní,C109547,24,49600.0,144000.0,24,11900.0,formal,80.0,1,56.0,0.02,1,1,0.0,0.0,0.0,0.0,ninguna,0.0408
2024-01-01,Baní,C114982,43,43700.0,246000.0,12,86300.0,formal,203.0,0,71.0,0.165,1,1,0.0,0.0,0.0,0.0,ninguna,0.0119
2024-01-01,Santo Domingo,C105657,38,52600.0,228000.0,24,292600.0,informal,,0,66.0,0.464,1,1,0.0,0.0,0.0,0.0,ninguna,0.1372
2024-01-01,Azua,C117328,29,59200.0,490000.0,6,321400.0,informal,,2,48.0,0.452,1,1,0.0,0.0,0.0,0.0,ninguna,0.5231
2024-01-01,Santo Domingo,C111887,33,26900.0,39000.0,6,63800.0,pensionado,33.0,3,,0.198,1,1,0.0,0.0,0.0,0.0,ninguna,0.3077
2024-01-01,San Cristóbal,C116141,49,45000.0,236000.0,48,212800.0,formal,23.0,0,,0.394,1,1,0.0,0.0,1.0,0.0,ninguna,0.1318
2024-01-01,San Cristóbal,C117029,55,45900.0,182000.0,12,76200.0,formal,94.0,1,67.0,0.138,1,1,24.0,0.0,4.0,0.0,ninguna,0.048
2024-01-01,San Cristóbal,C110070,50,85100.0,233000.0,12,460400.0,independiente,7.0,1,69.0,0.451,1,1,0.0,0.0,0.0,0.0,ninguna,0.1071
2024-01-01,Azua,C110643,44,50500.0,100000.0,18,366100.0,formal,23.0,0,84.0,0.604,1,1,0.0,0.0,0.0,0.0,ninguna,0.0544
2024-01-01,San Cristóbal,C110914,54,75300.0,466000.0,6,262000.0,formal,7.0,1,63.0,0.29,1,1,0.0,0.0,0.0,0.0,ninguna,0.0883
2024-01-01,Santo Domingo,C110123,51,69000.0,349000.0,12,265900.0,formal,33.0,3,53.0,0.321,1,1,17.0,0.0,1.0,0.0,ninguna,0.1983
2024-01-01,San Cristóbal,C307894,20,20000.0,54000.0,48,59300.0,pensionado,134.0,1,,0.247,1,1,0.0,0.0,0.0,0.0,ninguna,0.0864
2024-01-01,San Cristóbal,C301390,33,43700.0,405000.0,18,195700.0,pensionado,33.0,2,,0.373,1,1,42.0,1.0,2.0,1.0,ninguna,0.503
2024-01-01,Baní,C310626,35,29700.0,335000.0,36,128100.0,informal,,0,,0.359,1,1,32.0,1.0,8.0,0.0,ninguna,0.2383
2024-01-01,Santo Domingo,C110152,50,56900.0,174000.0,12,269700.0,formal,16.0,0,,0.395,1,1,0.0,0.0,0.0,0.0,ninguna,0.2342
2024-01-02,Baní,C318369,20,37100.0,133000.0,24,258400.0,informal,,0,72.0,0.58,1,1,23.0,0.0,0.0,0.0,ninguna,0.1379
2024-01-02,Azua,C101424,44,46300.0,240000.0,12,211100.0,formal,5.0,1,74.0,0.38,1,1,28.0,0.0,2.0,0.0,ninguna,0.1039
